Model,Language,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,Number of test examples,Inference time (sec),Average inference time/example (sec)
Zero-shot mT5-small,english,0.0936,0.0182,0.0869,0.5867,500,594.292,1.18858
Zero-shot mT5-small,hindi,0.0856,0.026,0.0804,0.5952,500,651.278,1.30256
Zero-shot mT5-small,telugu,0.0591,0.007,0.0583,0.541,500,401.405,0.80281
Zero-shot mT5-small,overall,0.0794,0.0171,0.0752,0.5743,1500,1646.975,1.09798
Lead-1,english,0.2401,0.0376,0.1815,0.6915,500,0.197,0.00039
Lead-1,hindi,0.301,0.1228,0.2173,0.7074,500,0.336,0.00067
Lead-1,telugu,0.2141,0.0933,0.1654,0.6815,500,0.843,0.00169
Lead-1,overall,0.2517,0.0846,0.188,0.6935,1500,1.375,0.00092
Lead-3,english,0.2407,0.0564,0.1643,0.6855,500,0.186,0.00037
Lead-3,hindi,0.3002,0.1348,0.1936,0.7022,500,0.312,0.00062
Lead-3,telugu,0.2532,0.11,0.1692,0.6876,500,0.539,0.00108
Lead-3,overall,0.2647,0.1004,0.1757,0.6918,1500,1.037,0.00069
